noise = gauss, noise_std = 0.01, noise_effect = both, trans_clos = FW, sparsity = 0.05, omega = 0.09, lambda1 = 0.001, lambda2 = 1, alpha = 1, beta = 1, weight_bounds = [0.1, 0.2], edges = 5, samples = [10], nodes = [1000], graph_type = ER, fixSup = False, timesteps = [1000], number_of_lags = 3, methods = ['spinsvar'], transformation = None, runs = 5, timeout = 10000, table = TPR, sparserc_epochs = 10000, algo_lags = 4, legend = False, rotate = False, 
samples = 10, timesteps = 1000, nodes = 1000, edges = 11000
Total executions were 5
Acc spinsvar is,0.0000000000,0.000,1.000,11000.000,1.000,1.000,1.000,1.000,0.016,69.261,0.000,0.081,249623.000,1768.500
Std spinsvar is,0.0000000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.378,0.000,0.000,111.000,34.500
Acc sparserc is,0.0192727273,212.000,0.981,10788.000,1.000,0.981,0.990,0.990,0.123,2792.797,0.000,0.134,249780.500,8006.500
Std sparserc is,0.0000000248,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.001,74.719,0.000,0.000,222.500,166.500
