noise = gauss, noise_std = 0.01, noise_effect = both, trans_clos = FW, sparsity = 0.05, omega = 0.09, lambda1 = 0.001, lambda2 = 1, alpha = 1, beta = 1, weight_bounds = [0.1, 0.2], edges = 5, samples = [10], nodes = [1000], graph_type = ER, fixSup = False, timesteps = [1000], number_of_lags = 3, methods = ['spinsvar'], transformation = None, runs = 5, timeout = 10000, table = TPR, sparserc_epochs = 10000, algo_lags = 1, legend = False, rotate = False, 
samples = 10, timesteps = 1000, nodes = 1000, edges = 11000
Total executions were 5
Acc spinsvar is,0.3753181818,4128.500,0.625,6871.500,1.000,0.625,0.769,0.812,0.610,17.300,0.000,0.362,250335.500,331195.500
Std spinsvar is,0.0000001116,13.500,0.002,13.500,0.000,0.002,0.001,0.000,0.001,0.532,0.000,0.000,224.500,644.500
Acc sparserc is,0.3796363636,4176.000,0.620,6824.000,1.000,0.620,0.766,0.810,0.614,33.187,0.000,0.374,250318.500,340221.500
Std sparserc is,0.0000002066,25.000,0.002,25.000,0.000,0.002,0.002,0.001,0.001,0.690,0.000,0.001,317.500,989.500
Acc varlingam is,0.3900909091,4291.000,0.610,6709.000,1.000,0.610,0.758,0.805,0.617,4622.132,0.000,0.375,499350.000,353695.500
Std varlingam is,0.0000000579,7.000,0.001,7.000,0.000,0.001,0.000,0.000,0.000,24.504,0.000,0.001,619.000,5331.500
