noise = gauss, noise_std = 0.01, noise_effect = both, trans_clos = FW, sparsity = 0.05, omega = 0.09, lambda1 = 0.001, lambda2 = 1, alpha = 1, beta = 1, weight_bounds = [0.1, 0.5], edges = 5, samples = [1, 2, 3, 5, 10, 20], nodes = [500], graph_type = ER, fixSup = False, timesteps = [1000], number_of_lags = 2, methods = ['spinsvar', 'varlingam'], transformation = None, runs = 5, timeout = 10000, table = TPR, sparserc_epochs = 10000, legend = False, 
samples = 1, timesteps = 1000, nodes = 500, edges = 4500
Total executions were 5
Acc spinsvar is,0.0000000000,0.000,1.000,4500.000,1.000,1.000,1.000,1.000,0.005,15.772,0.000,0.084,124888.600,996.400
Std spinsvar is,0.0000000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.137,0.000,0.000,207.879,20.304
Acc sparserc is,0.1989555556,895.300,0.946,5006.200,0.851,0.946,0.896,0.973,0.295,204.945,0.000,0.600,124886.600,401392.600
Std sparserc is,0.0000026132,52.918,0.004,31.186,0.008,0.004,0.006,0.002,0.007,9.260,0.000,0.016,255.249,19343.794
Acc varlingam is,0.0075555556,34.000,0.992,4466.000,1.000,0.992,0.996,0.996,0.045,437.004,0.000,0.159,249866.600,4993.600
Std varlingam is,0.0000004179,8.462,0.002,8.462,0.000,0.002,0.001,0.001,0.003,7.959,0.000,0.002,282.970,440.888
noise = gauss, noise_std = 0.01, noise_effect = both, trans_clos = FW, sparsity = 0.05, omega = 0.09, lambda1 = 0.001, lambda2 = 1, alpha = 1, beta = 1, weight_bounds = [0.1, 0.5], edges = 5, samples = [3, 5, 20], nodes = [500], graph_type = ER, fixSup = False, timesteps = [1000], number_of_lags = 2, methods = ['spinsvar', 'varlingam'], transformation = None, runs = 5, timeout = 10000, table = TPR, sparserc_epochs = 10000, legend = False, 
samples = 20, timesteps = 1000, nodes = 500, edges = 4500
Total executions were 5
Acc spinsvar is,0.0000000000,0.000,1.000,4500.000,1.000,1.000,1.000,1.000,0.004,22.360,0.000,0.084,250332.000,2068.000
Std spinsvar is,0.0000000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.539,0.000,0.000,406.619,23.757
Acc sparserc is,0.1899333333,854.700,0.951,4997.000,0.856,0.951,0.901,0.975,0.289,264.853,0.000,0.566,250140.200,732870.000
Std sparserc is,0.0000017386,35.207,0.003,19.647,0.004,0.003,0.004,0.002,0.006,23.049,0.000,0.013,397.016,34463.430
Acc varlingam is,0.0024000000,10.800,0.998,4489.200,1.000,0.998,0.999,0.999,0.029,535.910,0.000,0.144,499846.600,6935.600
Std varlingam is,0.0000001910,3.868,0.001,3.868,0.000,0.001,0.000,0.000,0.002,8.436,0.000,0.002,668.189,623.691
